customer_id,age,gender,income,location,registration_date,customer_tenure_days
CUST_000000,56,Male,58156.14740721948,Illinois,2023-10-14 21:01:13.941899,615
CUST_000001,75,Other,40768.553456024965,Texas,2024-03-18 21:01:13.941958,459
CUST_000002,41,Male,73688.19223261088,Illinois,2023-05-12 21:01:13.942001,770
CUST_000003,41,Female,61511.52093729363,California,2024-12-10 21:01:13.942040,192
CUST_000004,77,Male,71935.67180519026,Illinois,2023-06-03 21:01:13.942077,748
CUST_000005,42,Male,73080.72451421896,Texas,2025-04-22 21:01:13.942115,59
CUST_000006,59,Other,71984.7315338233,Texas,2023-01-26 21:01:13.942151,876
CUST_000007,72,Male,46613.355492701965,Texas,2024-02-21 21:01:13.942187,485
CUST_000008,68,Other,40996.19224841133,Illinois,2023-01-04 21:01:13.942222,898
CUST_000009,37,Other,64211.59731569958,Florida,2024-03-22 21:01:13.942258,455
CUST_000010,61,Male,44477.43587984688,New York,2022-12-01 21:01:13.942293,932
CUST_000011,67,Female,55633.46950761041,California,2023-05-10 21:01:13.942328,772
CUST_000012,71,Male,61076.99869993116,Florida,2023-07-19 21:01:13.942364,702
CUST_000013,57,Male,52570.524217849554,Illinois,2024-07-17 21:01:13.942398,338
CUST_000014,64,Male,56912.244502229565,Florida,2024-06-05 21:01:13.942433,380
CUST_000015,62,Male,51288.852074462215,Illinois,2025-06-05 21:01:13.942467,15
CUST_000016,62,Male,49346.94796289753,New York,2023-09-11 21:01:13.942502,648
CUST_000017,41,Other,45870.48634630411,Texas,2024-02-07 21:01:13.942536,499
CUST_000018,34,Other,57140.63881140458,California,2024-11-01 21:01:13.942571,231
CUST_000019,75,Male,69554.91902597876,Florida,2025-02-05 21:01:13.942653,135
CUST_000020,26,Female,46313.7846885944,Illinois,2025-03-13 21:01:13.942692,99
CUST_000021,61,Female,38454.98339500837,Texas,2023-12-21 21:01:13.942728,547
CUST_000022,18,Other,55424.54037571451,New York,2025-06-15 21:01:13.942762,5
CUST_000023,43,Other,40323.203680923136,Texas,2024-05-23 21:01:13.942797,393
CUST_000024,32,Other,47741.99212610326,Texas,2023-11-23 21:01:13.942831,575
CUST_000025,49,Other,35516.63492157538,New York,2023-12-04 21:01:13.942866,564
CUST_000026,78,Female,54464.75672762521,Texas,2023-12-27 21:01:13.942901,541
CUST_000027,53,Male,34578.26344118693,Texas,2024-10-20 21:01:13.942941,243
CUST_000028,39,Female,27995.481722307108,Illinois,2023-09-13 21:01:13.942978,646
CUST_000029,45,Female,63389.44207259243,Texas,2023-09-19 21:01:13.943012,640
CUST_000030,75,Other,45360.67180333134,New York,2024-05-31 21:01:13.943046,385
CUST_000031,74,Other,60096.88254160962,New York,2023-10-01 21:01:13.943080,628
CUST_000032,30,Male,36945.42568158389,Texas,2023-09-10 21:01:13.943114,649
CUST_000033,79,Male,42400.35170552714,New York,2023-03-24 21:01:13.943148,819
CUST_000034,59,Other,42753.15981873061,New York,2023-07-29 21:01:13.943183,692
CUST_000035,66,Female,41452.574774023946,New York,2024-04-04 21:01:13.943216,442
CUST_000036,69,Female,66300.90534558911,Illinois,2023-10-04 21:01:13.943250,625
CUST_000037,73,Male,65074.80321053948,Texas,2025-02-27 21:01:13.943285,113
CUST_000038,19,Female,43373.509651609806,New York,2024-05-31 21:01:13.943319,385
CUST_000039,36,Female,48737.52372228234,California,2025-04-28 21:01:13.943354,53
CUST_000040,61,Female,67142.34221772531,Texas,2024-05-15 21:01:13.943388,401
CUST_000041,55,Male,61278.99549030161,Florida,2023-10-19 21:01:13.943422,610
CUST_000042,23,Female,36790.38772205346,New York,2024-12-01 21:01:13.943462,201
CUST_000043,77,Other,51153.42422876857,Illinois,2023-05-11 21:01:13.943498,771
CUST_000044,37,Other,60771.92419737066,Texas,2025-01-23 21:01:13.943533,148
CUST_000045,49,Other,35727.9237402794,Florida,2024-02-17 21:01:13.943566,489
CUST_000046,50,Other,38251.20061495644,California,2023-10-18 21:01:13.943647,611
CUST_000047,24,Female,45169.07725691487,New York,2023-11-26 21:01:13.943688,572
CUST_000048,66,Female,65007.28411643157,New York,2024-10-30 21:01:13.943723,233
CUST_000049,52,Other,52286.31293388889,Texas,2024-05-12 21:01:13.943757,404
CUST_000050,41,Female,59264.612682667175,Texas,2023-10-04 21:01:13.943791,625
CUST_000051,25,Female,68256.06195470165,Florida,2024-10-09 21:01:13.943825,254
CUST_000052,52,Female,35219.27304311469,California,2023-03-21 21:01:13.943860,822
CUST_000053,52,Male,33590.89386397289,New York,2022-09-28 21:01:13.943894,996
CUST_000054,50,Male,30048.889017278227,Texas,2024-05-15 21:01:13.943928,401
CUST_000055,50,Other,49620.68561643308,Texas,2024-03-07 21:01:13.943962,470
CUST_000056,72,Female,63180.10322286344,Texas,2025-05-24 21:01:13.943996,27
CUST_000057,51,Male,46406.082377092855,New York,2024-09-09 21:01:13.944030,284
CUST_000058,64,Male,59385.01021647509,Texas,2024-01-21 21:01:13.944072,516
CUST_000059,52,Male,37142.63665375576,New York,2024-12-30 21:01:13.944106,172
CUST_000060,45,Female,48138.01416677511,Illinois,2023-10-22 21:01:13.944141,607
CUST_000061,52,Male,61105.11226921608,Florida,2024-12-11 21:01:13.944175,191
CUST_000062,78,Male,40859.3993617338,Texas,2025-02-12 21:01:13.944209,128
CUST_000063,35,Male,37797.18354559965,California,2023-06-16 21:01:13.944242,735
CUST_000064,71,Female,59526.688263529686,California,2023-09-20 21:01:13.944276,639
CUST_000065,44,Female,33796.98694939272,California,2022-10-08 21:01:13.944310,986
CUST_000066,34,Male,56279.59203758903,Illinois,2023-08-08 21:01:13.944344,682
CUST_000067,72,Female,39077.31125955,Texas,2023-03-25 21:01:13.944378,818
CUST_000068,42,Male,32251.015678183718,Florida,2023-01-19 21:01:13.944417,883
CUST_000069,40,Other,57424.93481287542,Florida,2024-07-01 21:01:13.944453,354
CUST_000070,19,Other,31998.023934047556,California,2023-11-23 21:01:13.944487,575
CUST_000071,79,Male,68020.70666326536,California,2023-11-28 21:01:13.944520,570
CUST_000072,39,Male,36603.19589556166,New York,2024-09-29 21:01:13.944553,264
CUST_000073,70,Male,44977.74128907899,Florida,2023-05-08 21:01:13.944616,774
